NAME,CITY,BEDROOM,STATUS,LOCATION,PRICE RANGE1,BEDROOM2,PRICE RANGE2,BEDROOM3,PRICE RANGE3,OWNER,OWNER NAME,SQ.FT min,SQ FT max
Sansa County Sector 2,hyderabad,4," Sep, 2027 ","Patancheru, Hyderabad",2.5,,,,,Builder,Auro Realty,1600,
Supadha Gamya,hyderabad,3,"Jul, 2028","Tellapur, Hyderabad",2.11,4,3.01,,,Builder,Supadha Developers Private Limited,800,1600
Rustomjee Crown,mumbai,3,"Dec, 2024","Prabhadevi, Mumbai",13.71,4,26.25,,,Builder,Rustomjee,600,
Lodha Divino,mumbai,3,"Dec, 2027","Matunga, Mumbai",3.96,3,6.06,,,Builder,Lodha,1000,2500
Forest Hills at The Prestige City,mumbai,2,"Dec, 2030","Mulund West, Mumbai",4.84,4,8.31,,,Builder,Prestige Group,1000,4000
Rustomjee 180 Bayview,mumbai,3," Jun, 2029 ","Matunga West, Mumbai",3.67,3,6.22,,,Builder,Rustomjee,1000,4000
Godrej Avenue Eleven,mumbai,2,"Dec, 2028","Mahalaxmi, Mumbai",14.87,,,,,Builder,Godrej Properties,500,
Raheja Modern Vivarea,mumbai,4," Mar, 2028 ","Mahalaxmi, Mumbai",17.73,4,21.68,,,Builder,K Raheja Corp,500,600
Ajmera Manhattan,mumbai,3,"Jun, 2027","Wadala East, Mumbai",3.16,3,4.43,,,Builder,Ajmera Group,1500,2000
Park Royale,mumbai,2," Dec, 2026","Marol, Mumbai",2.53,3,3.4,,,Builder,Pride Group,900,1200
Zynergy,mumbai,2," Nov, 2024","Chembur, Mumbai",2.94,,,,,Builder,AHCL,1000,
Sagar Avenue 2,mumbai,2,,"Santacruz East, Mumbai",2,2,2.25,,,Builder,Sagar Shopping Developers,1000,1200
Lodha Aura New Cuffe Parade,mumbai,1,"Jun, 2025","Wadala, Mumbai",5.03,4,6.77,,,Builder,Lodha,2000,2200
Chandak Highscape City,mumbai,3,"Dec, 2030","Chembur, Mumbai",1.34,2,2.08,,,Builder,Chandak Group,900,1200
Piramal Mahalaxmi,mumbai,1,"Dec, 2025 ","Mahalaxmi, Mumbai",5.64,3,11.08,,,Builder,Piramal Realty,2500,4000
Sheth Montana,mumbai,2,"Dec, 2026","Mulund West, Mumbai",3.07,3,4.55,,,Builder,Ashwin Sheth Group,1500,2000
Piramal Revanta,mumbai,2," Nov, 2028","Mulund West, Mumbai",1.65,2,3.39,,,Builder,Piramal Realty,1200,1800
Johaan Signature Isle,mumbai,1,,"Matunga East, Mumbai",2.6,2,3,,,Builder,Johaan Realtors,1200,1800
Kalpataru Advay,mumbai,1,"Jun, 2030","Borivali West, Mumbai",2.59,3,4.3,,,Builder,Kalpataru,1000,1800
Gagangiri Aerovista,mumbai,2," Dec, 2024","Andheri East, Mumbai",1.39,2,1.56,,,Builder,Gagangiri Construction,1000,1400
Lodha Regalia,mumbai,1,"Sep, 2027","Mulund East, Mumbai",2.24,3,3.19,,,Builder,Lodha,1200,1800
One Meraki,mumbai,2,"Dec, 2026","Chembur, Mumbai",3.2,3,7.64,,,Builder,Meraki Habitats,1200,4000
Leo Eminence,mumbai,2," Dec, 2025","Bandra Kurla Complex, Mumbai",1.45,2,2.35,,,Builder,Leo Builders,900,1000
Suraj Lumina,mumbai,1," Dec, 2028","Mahim West, Mumbai",3.1,3,4.59,,,Builder,Suraj Estate,1200,2000
Auriga 9,mumbai,2," Dec, 2029","Borivali West, Mumbai",2,3,3.59,,,Builder,Rajyog Projects and Bhatia Group,1200,1800
Lodha Bellevue Tower 3,mumbai,2," Dec, 2027","Mahalaxmi, Mumbai",6.03,4,8.99,,,Builder,Lodha,3000,4500
